book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
3817,寂靜之外：ECM的那些聲音、那些人、那些故事,李茶, 聯合文學,None,304, 350NT,9.79E+12,0,None,3662
3818,叛逆的佛陀：回到真心 莫忘初衷,竹慶本樂仁波切, 天下雜誌, 2013/3/25,304, 350NT,9.79E+12,8,16,3922
3819,階序人I：卡斯特體系及其衍生現象,杜蒙, 遠流出版事業股份有限公司, 2007/10,328,350,9.79E+12,8.4,34,5272
3820,“玩”才是正经事儿,李牧（Liam Bates）, 中信出版社, 2013/10/1,231, 35:00,9.79E+12,8,116,5885
3821,好男人不過是一瓶好的驅風油,李碧華, 天地圖書有限公司,1993,192, 35。00,9.79E+12,7.9,60,6252
3822,少年无情,温瑞安, 海天出版社, 1999/11,491, 35.80(两册),9.79E+12,7.3,139,6698
3823,十二女色,黃碧雲, 麥田,2000,None, 340TW,9.79E+12,8.5,922,8454
3824,Man Ray Photographs,Jean-Hubert Martin, Thames & Hudson, 2001/6,256, 34.95美,9.78E+12,8.4,45,8669
3825,松嶺寶藏:蓮師向空行母伊喜 措嘉開示之甚深寶藏口訣,蓮花生大师, 橡樹林, 2013/5/18,288, 330NT,9.79E+12,8.2,12,9011
3826,個人之夢 當代德國劇作選,羅蘭?希梅芬尼Roland Schimmelpfennig, 書林書店, 2012/6,None, 320台幣,9.79E+12,0,None,9722
